Energy Usage Information
"For location: CA RED FEATHER CT APPLE VALLEY 92307"

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2021-10-21 23:00:00  for 15 days"

"Data for period starting: 2021-10-22 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-22 00:00:00 to 2021-10-22 00:15:00","0.167",""
"2021-10-22 00:15:00 to 2021-10-22 00:30:00","0.150",""
"2021-10-22 00:30:00 to 2021-10-22 00:45:00","0.167",""
"2021-10-22 00:45:00 to 2021-10-22 01:00:00","0.163",""
"2021-10-22 01:00:00 to 2021-10-22 01:15:00","0.167",""
"2021-10-22 01:15:00 to 2021-10-22 01:30:00","0.153",""
"2021-10-22 01:30:00 to 2021-10-22 01:45:00","0.153",""
"2021-10-22 01:45:00 to 2021-10-22 02:00:00","0.160",""
"2021-10-22 02:00:00 to 2021-10-22 02:15:00","0.147",""
"2021-10-22 02:15:00 to 2021-10-22 02:30:00","0.153",""
"2021-10-22 02:30:00 to 2021-10-22 02:45:00","0.150",""
"2021-10-22 02:45:00 to 2021-10-22 03:00:00","0.143",""
"2021-10-22 03:00:00 to 2021-10-22 03:15:00","0.177",""
"2021-10-22 03:15:00 to 2021-10-22 03:30:00","0.120",""
"2021-10-22 03:30:00 to 2021-10-22 03:45:00","0.143",""
"2021-10-22 03:45:00 to 2021-10-22 04:00:00","0.140",""
"2021-10-22 04:00:00 to 2021-10-22 04:15:00","0.137",""
"2021-10-22 04:15:00 to 2021-10-22 04:30:00","0.140",""
"2021-10-22 04:30:00 to 2021-10-22 04:45:00","0.130",""
"2021-10-22 04:45:00 to 2021-10-22 05:00:00","0.120",""
"2021-10-22 05:00:00 to 2021-10-22 05:15:00","0.123",""
"2021-10-22 05:15:00 to 2021-10-22 05:30:00","0.133",""
"2021-10-22 05:30:00 to 2021-10-22 05:45:00","0.243",""
"2021-10-22 05:45:00 to 2021-10-22 06:00:00","0.257",""
"2021-10-22 06:00:00 to 2021-10-22 06:15:00","0.263",""
"2021-10-22 06:15:00 to 2021-10-22 06:30:00","0.273",""
"2021-10-22 06:30:00 to 2021-10-22 06:45:00","0.260",""
"2021-10-22 06:45:00 to 2021-10-22 07:00:00","0.300",""
"2021-10-22 07:00:00 to 2021-10-22 07:15:00","0.317",""
"2021-10-22 07:15:00 to 2021-10-22 07:30:00","0.307",""
"2021-10-22 07:30:00 to 2021-10-22 07:45:00","0.300",""
"2021-10-22 07:45:00 to 2021-10-22 08:00:00","0.257",""
"2021-10-22 08:00:00 to 2021-10-22 08:15:00","0.237",""
"2021-10-22 08:15:00 to 2021-10-22 08:30:00","0.213",""
"2021-10-22 08:30:00 to 2021-10-22 08:45:00","0.123",""
"2021-10-22 08:45:00 to 2021-10-22 09:00:00","0.127",""
"2021-10-22 09:00:00 to 2021-10-22 09:15:00","0.093",""
"2021-10-22 09:15:00 to 2021-10-22 09:30:00","0.097",""
"2021-10-22 09:30:00 to 2021-10-22 09:45:00","0.043",""
"2021-10-22 09:45:00 to 2021-10-22 10:00:00","0.007",""
"2021-10-22 10:00:00 to 2021-10-22 10:15:00","0.000",""
"2021-10-22 10:15:00 to 2021-10-22 10:30:00","0.000",""
"2021-10-22 10:30:00 to 2021-10-22 10:45:00","0.000",""
"2021-10-22 10:45:00 to 2021-10-22 11:00:00","0.000",""
"2021-10-22 11:00:00 to 2021-10-22 11:15:00","0.000",""
"2021-10-22 11:15:00 to 2021-10-22 11:30:00","0.000",""
"2021-10-22 11:30:00 to 2021-10-22 11:45:00","0.000",""
"2021-10-22 11:45:00 to 2021-10-22 12:00:00","0.000",""
"2021-10-22 12:00:00 to 2021-10-22 12:15:00","0.000",""
"2021-10-22 12:15:00 to 2021-10-22 12:30:00","0.000",""
"2021-10-22 12:30:00 to 2021-10-22 12:45:00","0.000",""
"2021-10-22 12:45:00 to 2021-10-22 13:00:00","0.000",""
"2021-10-22 13:00:00 to 2021-10-22 13:15:00","0.000",""
"2021-10-22 13:15:00 to 2021-10-22 13:30:00","0.000",""
"2021-10-22 13:30:00 to 2021-10-22 13:45:00","0.000",""
"2021-10-22 13:45:00 to 2021-10-22 14:00:00","0.000",""
"2021-10-22 14:00:00 to 2021-10-22 14:15:00","0.000",""
"2021-10-22 14:15:00 to 2021-10-22 14:30:00","0.000",""
"2021-10-22 14:30:00 to 2021-10-22 14:45:00","0.000",""
"2021-10-22 14:45:00 to 2021-10-22 15:00:00","0.000",""
"2021-10-22 15:00:00 to 2021-10-22 15:15:00","0.000",""
"2021-10-22 15:15:00 to 2021-10-22 15:30:00","0.000",""
"2021-10-22 15:30:00 to 2021-10-22 15:45:00","0.000",""
"2021-10-22 15:45:00 to 2021-10-22 16:00:00","0.000",""
"2021-10-22 16:00:00 to 2021-10-22 16:15:00","0.000",""
"2021-10-22 16:15:00 to 2021-10-22 16:30:00","0.000",""
"2021-10-22 16:30:00 to 2021-10-22 16:45:00","0.000",""
"2021-10-22 16:45:00 to 2021-10-22 17:00:00","0.000",""
"2021-10-22 17:00:00 to 2021-10-22 17:15:00","0.000",""
"2021-10-22 17:15:00 to 2021-10-22 17:30:00","0.000",""
"2021-10-22 17:30:00 to 2021-10-22 17:45:00","0.000",""
"2021-10-22 17:45:00 to 2021-10-22 18:00:00","0.480",""
"2021-10-22 18:00:00 to 2021-10-22 18:15:00","0.440",""
"2021-10-22 18:15:00 to 2021-10-22 18:30:00","0.500",""
"2021-10-22 18:30:00 to 2021-10-22 18:45:00","0.600",""
"2021-10-22 18:45:00 to 2021-10-22 19:00:00","0.390",""
"2021-10-22 19:00:00 to 2021-10-22 19:15:00","0.190",""
"2021-10-22 19:15:00 to 2021-10-22 19:30:00","0.190",""
"2021-10-22 19:30:00 to 2021-10-22 19:45:00","0.190",""
"2021-10-22 19:45:00 to 2021-10-22 20:00:00","0.210",""
"2021-10-22 20:00:00 to 2021-10-22 20:15:00","0.180",""
"2021-10-22 20:15:00 to 2021-10-22 20:30:00","0.160",""
"2021-10-22 20:30:00 to 2021-10-22 20:45:00","0.160",""
"2021-10-22 20:45:00 to 2021-10-22 21:00:00","0.150",""
"2021-10-22 21:00:00 to 2021-10-22 21:15:00","0.160",""
"2021-10-22 21:15:00 to 2021-10-22 21:30:00","0.160",""
"2021-10-22 21:30:00 to 2021-10-22 21:45:00","0.190",""
"2021-10-22 21:45:00 to 2021-10-22 22:00:00","0.220",""
"2021-10-22 22:00:00 to 2021-10-22 22:15:00","0.200",""
"2021-10-22 22:15:00 to 2021-10-22 22:30:00","0.230",""
"2021-10-22 22:30:00 to 2021-10-22 22:45:00","0.280",""
"2021-10-22 22:45:00 to 2021-10-22 23:00:00","0.490",""
"2021-10-22 23:00:00 to 2021-10-22 23:15:00","0.330",""
"2021-10-22 23:15:00 to 2021-10-22 23:30:00","0.290",""
"2021-10-22 23:30:00 to 2021-10-22 23:45:00","0.170",""
"2021-10-22 23:45:00 to 2021-10-23 00:00:00","0.150",""

"Data for period starting: 2021-10-22 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-22 00:00:00 to 2021-10-22 00:15:00","0.000",""
"2021-10-22 00:15:00 to 2021-10-22 00:30:00","0.000",""
"2021-10-22 00:30:00 to 2021-10-22 00:45:00","0.000",""
"2021-10-22 00:45:00 to 2021-10-22 01:00:00","0.000",""
"2021-10-22 01:00:00 to 2021-10-22 01:15:00","0.000",""
"2021-10-22 01:15:00 to 2021-10-22 01:30:00","0.000",""
"2021-10-22 01:30:00 to 2021-10-22 01:45:00","0.000",""
"2021-10-22 01:45:00 to 2021-10-22 02:00:00","0.000",""
"2021-10-22 02:00:00 to 2021-10-22 02:15:00","0.000",""
"2021-10-22 02:15:00 to 2021-10-22 02:30:00","0.000",""
"2021-10-22 02:30:00 to 2021-10-22 02:45:00","0.000",""
"2021-10-22 02:45:00 to 2021-10-22 03:00:00","0.000",""
"2021-10-22 03:00:00 to 2021-10-22 03:15:00","0.000",""
"2021-10-22 03:15:00 to 2021-10-22 03:30:00","0.000",""
"2021-10-22 03:30:00 to 2021-10-22 03:45:00","0.000",""
"2021-10-22 03:45:00 to 2021-10-22 04:00:00","0.000",""
"2021-10-22 04:00:00 to 2021-10-22 04:15:00","0.000",""
"2021-10-22 04:15:00 to 2021-10-22 04:30:00","0.000",""
"2021-10-22 04:30:00 to 2021-10-22 04:45:00","0.000",""
"2021-10-22 04:45:00 to 2021-10-22 05:00:00","0.000",""
"2021-10-22 05:00:00 to 2021-10-22 05:15:00","0.000",""
"2021-10-22 05:15:00 to 2021-10-22 05:30:00","0.000",""
"2021-10-22 05:30:00 to 2021-10-22 05:45:00","0.000",""
"2021-10-22 05:45:00 to 2021-10-22 06:00:00","0.000",""
"2021-10-22 06:00:00 to 2021-10-22 06:15:00","0.000",""
"2021-10-22 06:15:00 to 2021-10-22 06:30:00","0.000",""
"2021-10-22 06:30:00 to 2021-10-22 06:45:00","0.000",""
"2021-10-22 06:45:00 to 2021-10-22 07:00:00","0.000",""
"2021-10-22 07:00:00 to 2021-10-22 07:15:00","0.000",""
"2021-10-22 07:15:00 to 2021-10-22 07:30:00","0.000",""
"2021-10-22 07:30:00 to 2021-10-22 07:45:00","0.000",""
"2021-10-22 07:45:00 to 2021-10-22 08:00:00","0.000",""
"2021-10-22 08:00:00 to 2021-10-22 08:15:00","0.000",""
"2021-10-22 08:15:00 to 2021-10-22 08:30:00","0.000",""
"2021-10-22 08:30:00 to 2021-10-22 08:45:00","0.000",""
"2021-10-22 08:45:00 to 2021-10-22 09:00:00","0.000",""
"2021-10-22 09:00:00 to 2021-10-22 09:15:00","0.000",""
"2021-10-22 09:15:00 to 2021-10-22 09:30:00","0.000",""
"2021-10-22 09:30:00 to 2021-10-22 09:45:00","0.000",""
"2021-10-22 09:45:00 to 2021-10-22 10:00:00","0.000",""
"2021-10-22 10:00:00 to 2021-10-22 10:15:00","0.000",""
"2021-10-22 10:15:00 to 2021-10-22 10:30:00","0.000",""
"2021-10-22 10:30:00 to 2021-10-22 10:45:00","0.000",""
"2021-10-22 10:45:00 to 2021-10-22 11:00:00","0.000",""
"2021-10-22 11:00:00 to 2021-10-22 11:15:00","0.000",""
"2021-10-22 11:15:00 to 2021-10-22 11:30:00","0.730",""
"2021-10-22 11:30:00 to 2021-10-22 11:45:00","0.870",""
"2021-10-22 11:45:00 to 2021-10-22 12:00:00","1.010",""
"2021-10-22 12:00:00 to 2021-10-22 12:15:00","1.130",""
"2021-10-22 12:15:00 to 2021-10-22 12:30:00","0.960",""
"2021-10-22 12:30:00 to 2021-10-22 12:45:00","1.140",""
"2021-10-22 12:45:00 to 2021-10-22 13:00:00","1.130",""
"2021-10-22 13:00:00 to 2021-10-22 13:15:00","0.840",""
